Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product Origin Country,Product Material,Product Collection Id,Product Type Id,Product Discountable,Product External Id,Product Created At,Product Deleted At,Product Hs Code,Product Image 1,Product Is Giftcard,Product Mid Code,Product Sales Channel 1,Product Updated At,Variant Id,Variant Title,Variant Sku,Variant Upc,Variant Ean,Variant Hs Code,Variant Mid Code,Variant Manage Inventory,Variant Allow Backorder,Variant Barcode,Variant Created At,Variant Deleted At,Variant Height,Variant Length,Variant Material,Variant Metadata,Variant Option 1 Name,Variant Option 1 Value,Variant Origin Country,Variant Price USD,Variant Product Id,Variant Updated At,Variant Variant Rank,Variant Weight,Variant Width
prod_01K3YRNJNR0BFT9RBYEAZ74536,emerald-luxury-velvet,Emerald Luxury Velvet,,Deep emerald velvet with exceptional luster and depth. Ideal for statement furniture pieces.,published,https://images.unsplash.com/photo-1604076984203-587c92ab2e58?w=300&h=300&fit=crop,,,,,,,,,true,,2025-08-31T00:33:08.287Z,,,https://images.unsplash.com/photo-1604076984203-587c92ab2e58?w=800,false,,sc_01K3XX9F1AS2K8C6Z3H3R9A5BD,2025-08-31T01:21:06.610Z,variant_01K3YRNK37DZPK1N80TPEYEGM5,Fabric Per Yard,FAB-VELVET-003-YARD,,,,,true,false,,2025-08-31T00:33:08.713Z,,,,,,Type,Fabric,,15500,prod_01K3YRNJNR0BFT9RBYEAZ74536,2025-08-31T00:33:08.713Z,0,,
prod_01K3YRNJNR0BFT9RBYEAZ74536,emerald-luxury-velvet,Emerald Luxury Velvet,,Deep emerald velvet with exceptional luster and depth. Ideal for statement furniture pieces.,published,https://images.unsplash.com/photo-1604076984203-587c92ab2e58?w=300&h=300&fit=crop,,,,,,,,,true,,2025-08-31T00:33:08.287Z,,,https://images.unsplash.com/photo-1604076984203-587c92ab2e58?w=800,false,,sc_01K3XX9F1AS2K8C6Z3H3R9A5BD,2025-08-31T01:21:06.610Z,variant_01K3YRNK37ZDGDMSTV3ADXMRMP,Swatch Sample,FAB-VELVET-003-SWATCH,,,,,true,false,,2025-08-31T00:33:08.713Z,,,,,,Type,Swatch,,750,prod_01K3YRNJNR0BFT9RBYEAZ74536,2025-08-31T00:33:08.713Z,0,,
prod_01K3YRNJNR7AF8M45VNNBGJB8G,premium-navy-canvas,Premium Navy Canvas,,A versatile navy cotton canvas perfect for upholstery and home decor. Features excellent durability and a luxurious feel.,published,https://images.unsplash.com/photo-1571068316344-75bc76f77890?w=300&h=300&fit=crop,,,,,,,,,true,,2025-08-31T00:33:08.286Z,,,https://images.unsplash.com/photo-1571068316344-75bc76f77890?w=800,false,,sc_01K3XX9F1AS2K8C6Z3H3R9A5BD,2025-08-31T00:33:08.286Z,variant_01K3YRNK3741D871KWW70ECTZ6,Swatch Sample,FAB-NAVY-001-SWATCH,,,,,true,false,,2025-08-31T00:33:08.713Z,,,,,,Type,Swatch,,500,prod_01K3YRNJNR7AF8M45VNNBGJB8G,2025-08-31T00:33:08.713Z,0,,
prod_01K3YRNJNR7AF8M45VNNBGJB8G,premium-navy-canvas,Premium Navy Canvas,,A versatile navy cotton canvas perfect for upholstery and home decor. Features excellent durability and a luxurious feel.,published,https://images.unsplash.com/photo-1571068316344-75bc76f77890?w=300&h=300&fit=crop,,,,,,,,,true,,2025-08-31T00:33:08.286Z,,,https://images.unsplash.com/photo-1571068316344-75bc76f77890?w=800,false,,sc_01K3XX9F1AS2K8C6Z3H3R9A5BD,2025-08-31T00:33:08.286Z,variant_01K3YRNK37TF2SYP8ZGWYKPC27,Fabric Per Yard,FAB-NAVY-001-YARD,,,,,true,false,,2025-08-31T00:33:08.713Z,,,,,,Type,Fabric,,12500,prod_01K3YRNJNR7AF8M45VNNBGJB8G,2025-08-31T00:33:08.713Z,0,,
prod_01K3YRNJNRE8XHYBRQWYGSN4VG,outdoor-performance-stripe,Outdoor Performance Stripe,,Weather-resistant striped fabric perfect for outdoor furniture and marine applications.,published,https://images.unsplash.com/photo-1578662996442-48f60103fc96?w=300&h=300&fit=crop,,,,,,,,,true,,2025-08-31T00:33:08.287Z,,,https://images.unsplash.com/photo-1578662996442-48f60103fc96?w=800,false,,sc_01K3XX9F1AS2K8C6Z3H3R9A5BD,2025-08-31T00:33:08.287Z,variant_01K3YRNK38KED7H2QTPHBSVAS6,Fabric Per Yard,FAB-OUTDOOR-005-YARD,,,,,true,false,,2025-08-31T00:33:08.713Z,,,,,,Type,Fabric,,8500,prod_01K3YRNJNRE8XHYBRQWYGSN4VG,2025-08-31T00:33:08.713Z,0,,
prod_01K3YRNJNRE8XHYBRQWYGSN4VG,outdoor-performance-stripe,Outdoor Performance Stripe,,Weather-resistant striped fabric perfect for outdoor furniture and marine applications.,published,https://images.unsplash.com/photo-1578662996442-48f60103fc96?w=300&h=300&fit=crop,,,,,,,,,true,,2025-08-31T00:33:08.287Z,,,https://images.unsplash.com/photo-1578662996442-48f60103fc96?w=800,false,,sc_01K3XX9F1AS2K8C6Z3H3R9A5BD,2025-08-31T00:33:08.287Z,variant_01K3YRNK38QQBK34EBZN6PASHD,Swatch Sample,FAB-OUTDOOR-005-SWATCH,,,,,true,false,,2025-08-31T00:33:08.713Z,,,,,,Type,Swatch,,400,prod_01K3YRNJNRE8XHYBRQWYGSN4VG,2025-08-31T00:33:08.713Z,0,,
prod_01K3YRNJNRJR4N3SGBYTN66XCH,natural-herringbone-tweed,Natural Herringbone Tweed,,Classic herringbone pattern in natural cream tones. Timeless elegance for any interior.,published,https://images.unsplash.com/photo-1564258523680-07f21750566f?w=300&h=300&fit=crop,,,,,,,,,true,,2025-08-31T00:33:08.287Z,,,https://images.unsplash.com/photo-1564258523680-07f21750566f?w=800,false,,sc_01K3XX9F1AS2K8C6Z3H3R9A5BD,2025-08-31T00:33:08.287Z,variant_01K3YRNK38BV17MYXCG7D9QK8M,Swatch Sample,FAB-TWEED-004-SWATCH,,,,,true,false,,2025-08-31T00:33:08.713Z,,,,,,Type,Swatch,,600,prod_01K3YRNJNRJR4N3SGBYTN66XCH,2025-08-31T00:33:08.713Z,0,,
prod_01K3YRNJNRJR4N3SGBYTN66XCH,natural-herringbone-tweed,Natural Herringbone Tweed,,Classic herringbone pattern in natural cream tones. Timeless elegance for any interior.,published,https://images.unsplash.com/photo-1564258523680-07f21750566f?w=300&h=300&fit=crop,,,,,,,,,true,,2025-08-31T00:33:08.287Z,,,https://images.unsplash.com/photo-1564258523680-07f21750566f?w=800,false,,sc_01K3XX9F1AS2K8C6Z3H3R9A5BD,2025-08-31T00:33:08.287Z,variant_01K3YRNK38TA38SXGSKPXNEXXJ,Fabric Per Yard,FAB-TWEED-004-YARD,,,,,true,false,,2025-08-31T00:33:08.713Z,,,,,,Type,Fabric,,11000,prod_01K3YRNJNRJR4N3SGBYTN66XCH,2025-08-31T00:33:08.713Z,0,,
prod_01K3YRNJNRT871G4WFJEZ7JTSW,soft-sage-linen-blend,Soft Sage Linen Blend,,A calming sage green linen-cotton blend with natural texture. Perfect for drapery and light upholstery.,published,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=300&h=300&fit=crop,,,,,,,,,true,,2025-08-31T00:33:08.287Z,,,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=800,false,,sc_01K3XX9F1AS2K8C6Z3H3R9A5BD,2025-08-31T00:33:08.287Z,variant_01K3YRNK37DBB063W5FA0YV9PZ,Swatch Sample,FAB-SAGE-002-SWATCH,,,,,true,false,,2025-08-31T00:33:08.713Z,,,,,,Type,Swatch,,500,prod_01K3YRNJNRT871G4WFJEZ7JTSW,2025-08-31T00:33:08.713Z,0,,
prod_01K3YRNJNRT871G4WFJEZ7JTSW,soft-sage-linen-blend,Soft Sage Linen Blend,,A calming sage green linen-cotton blend with natural texture. Perfect for drapery and light upholstery.,published,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=300&h=300&fit=crop,,,,,,,,,true,,2025-08-31T00:33:08.287Z,,,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=800,false,,sc_01K3XX9F1AS2K8C6Z3H3R9A5BD,2025-08-31T00:33:08.287Z,variant_01K3YRNK37MS5TYNVRAQ58J24E,Fabric Per Yard,FAB-SAGE-002-YARD,,,,,true,false,,2025-08-31T00:33:08.713Z,,,,,,Type,Fabric,,9500,prod_01K3YRNJNRT871G4WFJEZ7JTSW,2025-08-31T00:33:08.713Z,0,,